Run Number,Std Dev (Position),Success Rate,Optimization Run,Model Name,Training Folder,Scale,HSV_V,Test_model,opt_success,acq_fn,sim_ready
run_438,6.020362,0.000000,32,yolo508.pt,Train384,0.14285714285714285,1.0,yolo508.pt,'True',EI,'True'
run_439,0.523330,0.000000,32,yolo509.pt,Train385,0.7142857142857142,1.0,yolo509.pt,'True',EI,'True'
run_440,30.767012,0.000000,32,yolo510.pt,Train386,1.0,0.0,yolo510.pt,'True',EI,'True'
run_441,28.800969,0.000000,32,yolo511.pt,Train387,0.0,0.0,yolo511.pt,'True',EI,'True'
run_442,2.350319,0.000000,32,yolo512.pt,Train388,0.7142857142857142,0.3333333333333333,yolo512.pt,'True',EI,'True'
run_443,1.065042,0.000000,32,yolo513.pt,Train389,0.7619047619047619,0.7142857142857142,yolo513.pt,'True',EI,'True'
run_444,28.179560,0.000000,32,yolo514.pt,Train390,0.3333333333333333,0.2857142857142857,yolo514.pt,'True',EI,'True'
run_445,39.918597,0.000000,32,yolo515.pt,Train391,0.0,0.3333333333333333,yolo515.pt,'True',EI,'True'
run_446,31.224578,0.000000,32,yolo516.pt,Train392,0.2857142857142857,0.0,yolo516.pt,'True',EI,'True'
run_447,25.010029,0.000000,32,yolo517.pt,Train393,1.0,0.2857142857142857,yolo517.pt,'True',EI,'True'
run_448,55.065522,0.000000,32,yolo518.pt,Train394,1.0,0.7619047619047619,yolo518.pt,'True',EI,'True'
run_449,46.590741,0.000000,32,yolo519.pt,Train395,0.3333333333333333,0.6666666666666666,yolo519.pt,'True',EI,'True'
run_450,23.976563,0.000000,32,yolo520.pt,Train396,0.7142857142857142,0.0,yolo520.pt,'True',EI,'True'
run_451,18.455742,0.000000,32,yolo521.pt,Train397,0.0,0.9523809523809523,yolo521.pt,'True',EI,'True'
run_452,19.851139,0.000000,32,yolo522.pt,Train398,0.42857142857142855,1.0,yolo522.pt,'True',EI,'True'
run_453,32.396408,0.000000,32,yolo523.pt,Train399,0.0,0.5714285714285714,yolo523.pt,'True',EI,'True'
run_454,12.964379,0.500000,32,yolo524.pt,Train400,0.047619047619047616,1.0,yolo524.pt,'True',EI,'True'
run_455,43.060991,0.000000,32,yolo525.pt,Train401,0.5238095238095237,0.23809523809523808,yolo525.pt,'True',EI,'True'
run_456,0.368955,0.000000,32,yolo526.pt,Train402,0.5714285714285714,0.6666666666666666,yolo526.pt,'True',EI,'True'
run_457,48.333546,0.000000,32,yolo527.pt,Train403,0.7619047619047619,0.5238095238095237,yolo527.pt,'True',EI,'True'
run_458,53.000456,0.700000,32,yolo527.pt,Train403,0.7619047619047619,0.5238095238095237,yolo524.pt,'True',EI,'True'
run_459,50.411445,0.000000,33,yolo528.pt,Train404,0.1,0.5,yolo528.pt,N/A,N/A,'True'
run_460,47.517957,0.000000,33,yolo529.pt,Train405,0.1,0.1,yolo529.pt,'True',UCB,'True'
run_461,0.438452,0.100000,33,yolo530.pt,Train406,0.5,0.9,yolo530.pt,'True',UCB,'True'
run_462,49.368722,0.000000,33,yolo531.pt,Train407,0.9,0.1,yolo531.pt,'True',UCB,'True'
run_463,51.003976,0.000000,33,yolo532.pt,Train408,0.5,0.5,yolo532.pt,'True',UCB,'True'
run_464,50.597899,0.000000,33,yolo533.pt,Train409,1.0,1.0,yolo533.pt,'True',UCB,'True'
